x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.590729,2258.8403,4.8099227,0.7097475,0.07031713,0.08883285,0.065430075,0.15584949
0.58237547,2449.6968,4.4776206,0.7809047,0.066501535,0.08956559,0.06304079,0.15676008
0.5959544,5071.87,1.9292485,5.0527096,0.08897028,0.13653776,0.08778012,0.10189295
0.7109585,2844.2124,2.5548024,6.6194663,0.10511783,0.12595089,0.0988135,0.14753519
0.6231117,5635.7754,2.1307938,10.511117,0.08807159,0.0751079,0.07974719,0.13361809
0.61547965,5448.346,1.768297,8.093145,0.16641796,0.1122005,0.09658503,0.062618606
0.6925982,3199.8604,0.75603557,7.3243513,0.081433065,0.09903279,0.063321985,0.07732506
0.61701447,2350.6091,1.646896,0.978987,0.1437039,0.1037707,0.07748881,0.07158258
0.6149616,2355.5725,1.6674448,0.8858055,0.14250773,0.10153363,0.076135285,0.073345155
0.59034157,2297.2185,2.6897938,0.6768607,0.12355867,0.09253733,0.08698698,0.051273435
0.7380426,1944.4999,1.490215,2.7867107,0.0954406,0.10848967,0.10224242,0.10028919
0.7407208,2010.5973,0.5755064,3.0459151,0.07898796,0.11109222,0.12732957,0.12228853
0.58716214,2685.9207,0.0027192496,0.94774246,0.15183976,0.0885829,0.056781847,0.040930726
0.56967896,4302.664,0.0047744955,2.3068054,0.1816695,0.14899383,0.080396235,0.08596593
0.5644497,6760.11,0.1692985,6.288836,0.17770962,0.12181299,0.069239214,0.05775467
0.559786,7153.588,0.113325894,6.7249374,0.17248496,0.1344457,0.06804211,0.05768578
0.6728754,2314.2734,0.6961446,1.9229193,0.14228731,0.11428331,0.087487385,0.10978662
0.6176492,5680.2886,2.6133444,10.125066,0.13184811,0.09349433,0.07359873,0.12422585
0.656478,3686.7036,1.8316245,6.0292306,0.12329201,0.080523,0.09671405,0.077891424
0.6468165,3959.4023,1.9508497,5.9899273,0.10574741,0.08295127,0.12398718,0.094244696
0.66043365,4118.4194,2.2198963,8.892959,0.15131101,0.09145789,0.08356127,0.057004586
0.6966121,3002.6675,1.680368,6.2947574,0.1254761,0.106703795,0.09552981,0.06405555
0.6223506,5878.4966,1.8138665,11.361895,0.12383917,0.10601859,0.064927116,0.082442805
0.66574085,4215.3716,0.7958361,10.495483,0.13908036,0.12916742,0.07309951,0.051211007
0.6258693,5451.683,1.8255581,9.676749,0.11422068,0.07155603,0.06834769,0.054107696
0.6825421,3580.3103,1.6551678,9.1276865,0.090627365,0.1691912,0.08676997,0.096082866
0.59912556,3314.8726,2.5355563,1.8415804,0.11993424,0.08590151,0.075764544,0.07169673
0.5998133,3671.8408,1.3439804,2.605245,0.16967326,0.0832074,0.08201542,0.090128645
0.68611985,3604.0786,2.3301933,10.040549,0.14800864,0.15186101,0.07884459,0.10598624
0.6879881,3826.6848,1.9891112,10.685293,0.11892605,0.15178454,0.06787037,0.10093768
