x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.59233326,3181.5898,1.8688166,1.6096934,0.07404121,0.082866624,0.15065722,0.11266838
0.70630246,2676.4702,2.4470527,7.3863974,0.17155105,0.3801679,0.20441228,0.07678401
0.54435885,2059.3809,1.0285507,0.3688085,0.07767172,0.2976622,0.04281735,0.12807181
0.54360056,2833.2712,1.059878,0.825626,0.09182267,0.27220756,0.04580944,0.14232008
0.6928665,3319.8208,1.498345,9.369517,0.04768403,0.14263701,0.054211102,0.074803025
0.615741,2001.5889,1.0693709,0.6618617,0.060931697,0.046042226,0.06787493,0.08169772
0.58405393,2491.7856,3.1555502,0.8903316,0.072051995,0.08179544,0.13438532,0.12366721
0.6148899,1898.677,0.8215056,0.57123303,0.058434196,0.0392408,0.073017865,0.064338304
0.66895115,2024.9396,3.2064772,1.1904438,0.061324086,0.044950128,0.039381772,0.025343647
0.7278039,1452.1311,2.715586,0.8994776,0.06255186,0.027581723,0.02482561,0.035261273
0.66598815,2802.9724,1.3390359,3.2024877,0.06301743,0.07578084,0.08114526,0.071449056
0.7475015,1864.393,3.0244343,3.1306124,0.063178696,0.07256987,0.07337187,0.0736147
0.5391615,3293.509,0.93099916,1.2240214,0.101086974,0.036225855,0.09243852,0.24123557
0.5464075,5041.714,0.5338342,3.248818,0.08953135,0.054392822,0.089467004,0.4161036
0.64588267,2944.2686,3.831589,3.011904,0.034936246,0.08223426,0.21426488,0.11564632
0.61547905,4679.88,0.21239042,6.274381,0.114318185,0.08071272,0.02880986,0.094555534
0.6092604,2476.4736,0.8397538,0.9624092,0.13334636,0.13339569,0.0352096,0.054906074
0.5995895,2992.91,1.9280976,1.4725862,0.12386247,0.1377157,0.13250513,0.046888024
0.6630127,4131.8354,1.7853934,10.743877,0.12074119,0.05124397,0.3046906,0.08517206
0.52130383,1727.1564,1.5631111,0.23205133,0.43810004,0.14747305,0.029694045,0.1712094
0.5410742,1159.436,0.32774568,0.082442254,0.32629672,0.25199905,0.058431495,0.13554874
0.5997137,1441.4236,1.2201123,0.26467228,0.26349342,0.17009167,0.038146704,0.4533031
0.68905455,3501.653,0.18209942,10.936421,0.07031879,0.048426446,0.3403761,0.0342726
0.7263889,2902.9766,0.27115396,11.096559,0.06568732,0.050796527,0.35081294,0.037466843
0.7216798,2924.8818,0.46792036,10.74626,0.07743137,0.06795194,0.32094312,0.044302773
0.58975935,5705.354,1.8181548,6.9883275,0.072473444,0.053423494,0.4156583,0.040922716
0.7161925,1483.4583,1.4841245,0.82108665,0.18612286,0.29959044,0.037589736,0.06998891
0.4795429,7987.9517,1.9389478,4.0852246,0.27254248,0.048644375,0.09785084,0.14172783
0.56910914,3604.349,1.5819136,2.0860329,0.26382375,0.057675343,0.090470545,0.16559559
0.6440021,3891.1877,1.6663915,6.5118346,0.05459589,0.09280916,0.12250155,0.17026393
0.686702,3157.507,1.117978,6.4555197,0.1703217,0.088671476,0.04281004,0.040548407
0.63071895,4286.4556,0.18713972,6.2626753,0.107928514,0.11789415,0.059690677,0.03474187
0.6829861,3000.6594,1.1482186,4.948121,0.08917141,0.061226133,0.106286936,0.055697486
